asset_class,market_date,market_factor,factor_level,volatility,currency
Credit,2026-04-02,Credit India Risk Factor,99.556373,0.125996,INR
Credit,2026-04-01,Credit India Risk Factor,94.184045,0.24339,INR
Credit,2026-03-31,Credit India Risk Factor,99.470459,0.162106,INR
Credit,2026-03-30,Credit India Risk Factor,100.207697,0.323957,INR
Credit,2026-03-29,Credit India Risk Factor,93.921057,0.307473,INR
Credit,2026-03-28,Credit India Risk Factor,94.968437,0.232523,INR
Credit,2026-03-27,Credit India Risk Factor,110.476205,0.368883,INR
Credit,2026-03-26,Credit India Risk Factor,104.135924,0.404163,INR
Credit,2026-03-25,Credit India Risk Factor,98.084231,0.352027,INR
Credit,2026-03-24,Credit India Risk Factor,92.041815,0.319244,INR
Credit,2026-03-23,Credit India Risk Factor,95.055565,0.279287,INR
Credit,2026-03-22,Credit India Risk Factor,87.490359,0.348308,INR
Credit,2026-03-21,Credit India Risk Factor,101.876765,0.316373,INR
Credit,2026-03-20,Credit India Risk Factor,94.653293,0.141543,INR
Credit,2026-03-19,Credit India Risk Factor,102.501701,0.30002,INR
Credit,2026-03-18,Credit India Risk Factor,105.954669,0.139438,INR
Credit,2026-03-17,Credit India Risk Factor,102.619289,0.218243,INR
Credit,2026-03-16,Credit India Risk Factor,97.139759,0.275155,INR
Credit,2026-03-15,Credit India Risk Factor,93.552658,0.233236,INR
Credit,2026-03-14,Credit India Risk Factor,91.008226,0.173229,INR
Credit,2026-03-13,Credit India Risk Factor,109.573023,0.185282,INR
Credit,2026-03-12,Credit India Risk Factor,102.267531,0.393896,INR
Credit,2026-03-11,Credit India Risk Factor,97.560623,0.289788,INR
Credit,2026-03-10,Credit India Risk Factor,104.815165,0.140566,INR
Credit,2026-03-09,Credit India Risk Factor,108.093283,0.340036,INR
Credit,2026-03-08,Credit India Risk Factor,94.80317,0.143395,INR
Credit,2026-03-07,Credit India Risk Factor,102.025636,0.18989,INR
Credit,2026-03-06,Credit India Risk Factor,102.18657,0.291411,INR
Credit,2026-03-05,Credit India Risk Factor,111.4383,0.387766,INR
Credit,2026-03-04,Credit India Risk Factor,97.455781,0.303978,INR
Credit,2026-03-03,Credit India Risk Factor,93.295847,0.183985,INR
Credit,2026-03-02,Credit India Risk Factor,102.892804,0.112464,INR
Credit,2026-03-01,Credit India Risk Factor,105.495629,0.327477,INR
Credit,2026-02-28,Credit India Risk Factor,101.367643,0.256317,INR
Credit,2026-02-27,Credit India Risk Factor,112.069757,0.361432,INR
Credit,2026-02-26,Credit India Risk Factor,97.432161,0.250107,INR
FX,2026-05-26,FX India Risk Factor,101.563047,0.171078,INR
FX,2026-05-25,FX India Risk Factor,89.147201,0.374162,INR
FX,2026-05-24,FX India Risk Factor,92.90088,0.244407,INR
FX,2026-05-23,FX India Risk Factor,94.849408,0.351392,INR
FX,2026-05-22,FX India Risk Factor,98.648567,0.210984,INR
FX,2026-05-21,FX India Risk Factor,90.205573,0.131872,INR
FX,2026-05-20,FX India Risk Factor,104.698061,0.242953,INR
FX,2026-05-19,FX India Risk Factor,94.203409,0.38893,INR
FX,2026-05-18,FX India Risk Factor,117.590783,0.293118,INR
FX,2026-05-17,FX India Risk Factor,94.454504,0.253511,INR
FX,2026-05-16,FX India Risk Factor,100.737417,0.086925,INR
FX,2026-05-15,FX India Risk Factor,99.749162,0.37103,INR
FX,2026-05-14,FX India Risk Factor,92.298956,0.350541,INR
FX,2026-05-13,FX India Risk Factor,98.677856,0.259851,INR
FX,2026-05-12,FX India Risk Factor,98.583891,0.210219,INR
FX,2026-05-11,FX India Risk Factor,107.115308,0.166771,INR
FX,2026-05-10,FX India Risk Factor,103.192826,0.314739,INR
FX,2026-05-09,FX India Risk Factor,104.576766,0.221331,INR
FX,2026-05-08,FX India Risk Factor,106.926536,0.241155,INR
FX,2026-05-07,FX India Risk Factor,104.709885,0.08215,INR
FX,2026-05-06,FX India Risk Factor,101.959514,0.10417,INR
FX,2026-05-05,FX India Risk Factor,94.783403,0.150507,INR
FX,2026-05-04,FX India Risk Factor,101.451451,0.175278,INR
FX,2026-05-03,FX India Risk Factor,93.407148,0.214762,INR
FX,2026-05-02,FX India Risk Factor,99.24801,0.164619,INR
FX,2026-05-01,FX India Risk Factor,98.243248,0.217413,INR
FX,2026-04-30,FX India Risk Factor,98.717656,0.236246,INR
FX,2026-04-29,FX India Risk Factor,90.273614,0.320325,INR
FX,2026-04-28,FX India Risk Factor,79.102434,0.18032,INR
FX,2026-04-27,FX India Risk Factor,96.834852,0.26889,INR
FX,2026-04-26,FX India Risk Factor,108.861419,0.41519,INR
FX,2026-04-25,FX India Risk Factor,100.622854,0.385598,INR
FX,2026-04-24,FX India Risk Factor,108.209517,0.123311,INR
FX,2026-04-23,FX India Risk Factor,93.45384,0.244667,INR
FX,2026-04-22,FX India Risk Factor,96.469484,0.354324,INR
FX,2026-04-21,FX India Risk Factor,118.21231,0.125531,INR
FX,2026-04-20,FX India Risk Factor,93.877156,0.247703,INR
FX,2026-04-19,FX India Risk Factor,104.415639,0.326051,INR
FX,2026-04-18,FX India Risk Factor,104.402761,0.364201,INR
FX,2026-04-17,FX India Risk Factor,103.490236,0.256508,INR
FX,2026-04-16,FX India Risk Factor,104.519525,0.380767,INR
FX,2026-04-15,FX India Risk Factor,93.775009,0.114803,INR
FX,2026-04-14,FX India Risk Factor,97.186565,0.354119,INR
FX,2026-04-13,FX India Risk Factor,80.651086,0.288905,INR
FX,2026-04-12,FX India Risk Factor,111.75011,0.335368,INR
FX,2026-04-11,FX India Risk Factor,104.470168,0.100952,INR
FX,2026-04-10,FX India Risk Factor,94.857731,0.148845,INR
FX,2026-04-09,FX India Risk Factor,93.530956,0.201276,INR
FX,2026-04-08,FX India Risk Factor,109.015545,0.118585,INR
FX,2026-04-07,FX India Risk Factor,94.348996,0.143078,INR
FX,2026-04-06,FX India Risk Factor,94.835227,0.104197,INR
FX,2026-04-05,FX India Risk Factor,92.000122,0.312739,INR
FX,2026-04-04,FX India Risk Factor,105.974774,0.084792,INR
FX,2026-04-03,FX India Risk Factor,108.08051,0.131957,INR
FX,2026-04-02,FX India Risk Factor,98.289155,0.376735,INR
FX,2026-04-01,FX India Risk Factor,108.137419,0.139996,INR
FX,2026-03-31,FX India Risk Factor,102.798175,0.166965,INR
FX,2026-03-30,FX India Risk Factor,91.577735,0.091137,INR
FX,2026-03-29,FX India Risk Factor,111.062978,0.342819,INR
FX,2026-03-28,FX India Risk Factor,91.926797,0.138436,INR
FX,2026-03-27,FX India Risk Factor,98.831088,0.375173,INR
FX,2026-03-26,FX India Risk Factor,98.311116,0.302804,INR
FX,2026-03-25,FX India Risk Factor,96.955001,0.361562,INR
FX,2026-03-24,FX India Risk Factor,85.271711,0.25299,INR
FX,2026-03-23,FX India Risk Factor,115.955428,0.169536,INR
FX,2026-03-22,FX India Risk Factor,86.133592,0.087068,INR
FX,2026-03-21,FX India Risk Factor,111.636144,0.352068,INR
FX,2026-03-20,FX India Risk Factor,93.289151,0.130943,INR
FX,2026-03-19,FX India Risk Factor,95.522398,0.260457,INR
FX,2026-03-18,FX India Risk Factor,110.705569,0.104021,INR
FX,2026-03-17,FX India Risk Factor,103.648097,0.238157,INR
FX,2026-03-16,FX India Risk Factor,89.37654,0.174863,INR
FX,2026-03-15,FX India Risk Factor,89.236231,0.381812,INR
FX,2026-03-14,FX India Risk Factor,102.433204,0.357762,INR
FX,2026-03-13,FX India Risk Factor,91.805901,0.25402,INR
FX,2026-03-12,FX India Risk Factor,104.029202,0.357271,INR
FX,2026-03-11,FX India Risk Factor,104.856427,0.337358,INR
FX,2026-03-10,FX India Risk Factor,94.030442,0.373243,INR
FX,2026-03-09,FX India Risk Factor,95.912983,0.094303,INR
FX,2026-03-08,FX India Risk Factor,102.69299,0.37129,INR
FX,2026-03-07,FX India Risk Factor,93.714584,0.318003,INR
FX,2026-03-06,FX India Risk Factor,100.63372,0.200824,INR
FX,2026-03-05,FX India Risk Factor,118.846569,0.124117,INR
FX,2026-03-04,FX India Risk Factor,103.074672,0.133133,INR
FX,2026-03-03,FX India Risk Factor,97.059236,0.153572,INR
FX,2026-03-02,FX India Risk Factor,116.9734,0.285615,INR
FX,2026-03-01,FX India Risk Factor,106.575498,0.102194,INR
FX,2026-02-28,FX India Risk Factor,91.973461,0.280564,INR
FX,2026-02-27,FX India Risk Factor,93.254939,0.217007,INR
FX,2026-02-26,FX India Risk Factor,86.884881,0.280358,INR
Equity,2026-05-26,Equity India Risk Factor,102.54633,0.313941,INR
Equity,2026-05-25,Equity India Risk Factor,84.086659,0.322713,INR
Equity,2026-05-24,Equity India Risk Factor,116.960646,0.199101,INR
Equity,2026-05-23,Equity India Risk Factor,97.941457,0.122713,INR
Equity,2026-05-22,Equity India Risk Factor,107.10165,0.197048,INR
Equity,2026-05-21,Equity India Risk Factor,97.251714,0.293332,INR
Equity,2026-05-20,Equity India Risk Factor,102.404918,0.351333,INR
Equity,2026-05-19,Equity India Risk Factor,98.935388,0.358711,INR
Equity,2026-05-18,Equity India Risk Factor,100.40816,0.29069,INR
Equity,2026-05-17,Equity India Risk Factor,109.676166,0.347872,INR
Equity,2026-05-16,Equity India Risk Factor,113.752873,0.214965,INR
Equity,2026-05-15,Equity India Risk Factor,112.983788,0.267283,INR
Equity,2026-05-14,Equity India Risk Factor,126.168209,0.100031,INR
Equity,2026-05-13,Equity India Risk Factor,94.485238,0.267328,INR
Equity,2026-05-12,Equity India Risk Factor,103.177872,0.332092,INR
Equity,2026-05-11,Equity India Risk Factor,94.653003,0.392923,INR
Equity,2026-05-10,Equity India Risk Factor,109.299704,0.399505,INR
Equity,2026-05-09,Equity India Risk Factor,92.312029,0.241179,INR
Equity,2026-05-08,Equity India Risk Factor,109.834599,0.103906,INR
Equity,2026-05-07,Equity India Risk Factor,101.634781,0.088482,INR
Equity,2026-05-06,Equity India Risk Factor,99.370114,0.355943,INR
Equity,2026-05-05,Equity India Risk Factor,100.249079,0.122367,INR
Equity,2026-05-04,Equity India Risk Factor,91.030571,0.159661,INR
Equity,2026-05-03,Equity India Risk Factor,91.611267,0.402876,INR
Equity,2026-05-02,Equity India Risk Factor,101.777058,0.37824,INR
Equity,2026-05-01,Equity India Risk Factor,101.72275,0.362989,INR
Equity,2026-04-30,Equity India Risk Factor,94.981433,0.103238,INR
Equity,2026-04-29,Equity India Risk Factor,97.858313,0.097664,INR
Equity,2026-04-28,Equity India Risk Factor,103.85909,0.315128,INR
Equity,2026-04-27,Equity India Risk Factor,93.675724,0.186721,INR
Equity,2026-04-26,Equity India Risk Factor,86.100625,0.332175,INR
Equity,2026-04-25,Equity India Risk Factor,112.089093,0.264229,INR
Equity,2026-04-24,Equity India Risk Factor,102.334502,0.412795,INR
Equity,2026-04-23,Equity India Risk Factor,96.265686,0.241613,INR
Equity,2026-04-22,Equity India Risk Factor,94.63081,0.129852,INR
Equity,2026-04-21,Equity India Risk Factor,93.605308,0.176562,INR
Equity,2026-04-20,Equity India Risk Factor,109.263752,0.254094,INR
Equity,2026-04-19,Equity India Risk Factor,89.830007,0.280783,INR
Equity,2026-04-18,Equity India Risk Factor,103.156795,0.326022,INR
Equity,2026-04-17,Equity India Risk Factor,103.1498,0.384737,INR
Equity,2026-04-16,Equity India Risk Factor,106.129472,0.257479,INR
Equity,2026-04-15,Equity India Risk Factor,96.973718,0.156526,INR
Equity,2026-04-14,Equity India Risk Factor,111.267591,0.366287,INR
Equity,2026-04-13,Equity India Risk Factor,106.382874,0.183105,INR
Equity,2026-04-12,Equity India Risk Factor,96.717274,0.324848,INR
Equity,2026-04-11,Equity India Risk Factor,94.286951,0.148345,INR
Equity,2026-04-10,Equity India Risk Factor,98.956846,0.256436,INR
Equity,2026-04-09,Equity India Risk Factor,96.465154,0.202175,INR
Equity,2026-04-08,Equity India Risk Factor,93.074415,0.141316,INR
Equity,2026-04-07,Equity India Risk Factor,100.598214,0.133384,INR
Equity,2026-04-06,Equity India Risk Factor,97.90863,0.351323,INR
Equity,2026-04-05,Equity India Risk Factor,113.420556,0.086604,INR
Equity,2026-04-04,Equity India Risk Factor,96.453041,0.239235,INR
Equity,2026-04-03,Equity India Risk Factor,94.221117,0.392536,INR
Equity,2026-04-02,Equity India Risk Factor,100.081973,0.377508,INR
Equity,2026-04-01,Equity India Risk Factor,102.076891,0.206235,INR
Equity,2026-03-31,Equity India Risk Factor,102.689986,0.332446,INR
Equity,2026-03-30,Equity India Risk Factor,102.610392,0.167387,INR
Equity,2026-03-29,Equity India Risk Factor,100.3476,0.084751,INR
Equity,2026-03-28,Equity India Risk Factor,99.770574,0.253625,INR
Equity,2026-03-27,Equity India Risk Factor,104.904354,0.141306,INR
Equity,2026-03-26,Equity India Risk Factor,92.418509,0.157668,INR
Equity,2026-03-25,Equity India Risk Factor,94.27314,0.20895,INR
Equity,2026-03-24,Equity India Risk Factor,88.034718,0.126956,INR
Equity,2026-03-23,Equity India Risk Factor,92.534196,0.090143,INR
Equity,2026-03-22,Equity India Risk Factor,108.360517,0.386665,INR
Equity,2026-03-21,Equity India Risk Factor,104.547276,0.206481,INR
Equity,2026-03-20,Equity India Risk Factor,114.695161,0.272903,INR
Equity,2026-03-19,Equity India Risk Factor,112.228487,0.160339,INR
Equity,2026-03-18,Equity India Risk Factor,104.618662,0.182607,INR
Equity,2026-03-17,Equity India Risk Factor,101.212719,0.186994,INR
Equity,2026-03-16,Equity India Risk Factor,100.232317,0.390076,INR
Equity,2026-03-15,Equity India Risk Factor,83.691116,0.23574,INR
Equity,2026-03-14,Equity India Risk Factor,99.351143,0.246382,INR
Equity,2026-03-13,Equity India Risk Factor,95.517382,0.086888,INR
Equity,2026-03-12,Equity India Risk Factor,92.849949,0.411046,INR
Equity,2026-03-11,Equity India Risk Factor,103.257038,0.304554,INR
Equity,2026-03-10,Equity India Risk Factor,98.402945,0.193653,INR
Equity,2026-03-09,Equity India Risk Factor,100.711484,0.278582,INR
Equity,2026-03-08,Equity India Risk Factor,91.782155,0.360331,INR
Equity,2026-03-07,Equity India Risk Factor,106.751513,0.221016,INR
Equity,2026-03-06,Equity India Risk Factor,96.417069,0.40958,INR
Equity,2026-03-05,Equity India Risk Factor,102.8197,0.131445,INR
Equity,2026-03-04,Equity India Risk Factor,97.042394,0.303899,INR
Equity,2026-03-03,Equity India Risk Factor,82.508748,0.160062,INR
Equity,2026-03-02,Equity India Risk Factor,103.586478,0.17473,INR
Equity,2026-03-01,Equity India Risk Factor,98.902186,0.09377,INR
Equity,2026-02-28,Equity India Risk Factor,87.562319,0.302554,INR
Equity,2026-02-27,Equity India Risk Factor,90.909577,0.160864,INR
Equity,2026-02-26,Equity India Risk Factor,107.005244,0.409846,INR
Commodity,2026-05-26,Commodity India Risk Factor,87.889907,0.296213,INR
Commodity,2026-05-25,Commodity India Risk Factor,96.220478,0.162106,INR
Commodity,2026-05-24,Commodity India Risk Factor,115.558098,0.175268,INR
Commodity,2026-05-23,Commodity India Risk Factor,103.798531,0.118114,INR
Commodity,2026-05-22,Commodity India Risk Factor,105.778193,0.261431,INR
Commodity,2026-05-21,Commodity India Risk Factor,97.733255,0.369147,INR
Commodity,2026-05-20,Commodity India Risk Factor,86.968019,0.116452,INR
Commodity,2026-05-19,Commodity India Risk Factor,101.459114,0.201583,INR
Commodity,2026-05-18,Commodity India Risk Factor,91.396642,0.247929,INR
Commodity,2026-05-17,Commodity India Risk Factor,90.704798,0.34199,INR
Commodity,2026-05-16,Commodity India Risk Factor,100.527866,0.234707,INR
Commodity,2026-05-15,Commodity India Risk Factor,91.887446,0.236534,INR
Commodity,2026-05-14,Commodity India Risk Factor,99.612129,0.215141,INR
Commodity,2026-05-13,Commodity India Risk Factor,94.515144,0.143823,INR
Commodity,2026-05-12,Commodity India Risk Factor,99.341395,0.189276,INR
Commodity,2026-05-11,Commodity India Risk Factor,95.733983,0.255348,INR
Commodity,2026-05-10,Commodity India Risk Factor,99.556192,0.121485,INR
Commodity,2026-05-09,Commodity India Risk Factor,111.426706,0.182109,INR
Commodity,2026-05-08,Commodity India Risk Factor,105.971346,0.181504,INR
Commodity,2026-05-07,Commodity India Risk Factor,98.681245,0.16339,INR
Commodity,2026-05-06,Commodity India Risk Factor,109.887988,0.220692,INR
Commodity,2026-05-05,Commodity India Risk Factor,102.936428,0.369191,INR
Commodity,2026-05-04,Commodity India Risk Factor,109.25073,0.269681,INR
Commodity,2026-05-03,Commodity India Risk Factor,88.626181,0.311672,INR
Commodity,2026-05-02,Commodity India Risk Factor,91.968895,0.267258,INR
Commodity,2026-05-01,Commodity India Risk Factor,101.365216,0.187821,INR
Commodity,2026-04-30,Commodity India Risk Factor,98.490046,0.243703,INR
Commodity,2026-04-29,Commodity India Risk Factor,99.574748,0.110619,INR
Commodity,2026-04-28,Commodity India Risk Factor,104.23062,0.374334,INR
Commodity,2026-04-27,Commodity India Risk Factor,101.445263,0.204476,INR
Commodity,2026-04-26,Commodity India Risk Factor,106.782986,0.090075,INR
Commodity,2026-04-25,Commodity India Risk Factor,106.544561,0.24778,INR
Commodity,2026-04-24,Commodity India Risk Factor,92.300219,0.173458,INR
Commodity,2026-04-23,Commodity India Risk Factor,82.734003,0.165765,INR
Commodity,2026-04-22,Commodity India Risk Factor,91.837894,0.176478,INR
Commodity,2026-04-21,Commodity India Risk Factor,91.378109,0.312314,INR
Commodity,2026-04-20,Commodity India Risk Factor,100.154619,0.309754,INR
Commodity,2026-04-19,Commodity India Risk Factor,100.053876,0.333675,INR
Commodity,2026-04-18,Commodity India Risk Factor,98.024913,0.326196,INR
Commodity,2026-04-17,Commodity India Risk Factor,103.249098,0.31927,INR
Commodity,2026-04-16,Commodity India Risk Factor,119.753568,0.162493,INR
